,city,g2000,p2000,country_x,2000_ls,region,Regional_label,g2010,g2015,g2020,g2025,g2030,g2035,g2040,g2045,g2050,p2010,p2015,p2020,p2025,p2030,p2035,p2040,p2045,p2050
281,Tashkent,40.23697082159706,24.77561,Uzbekistan,923,Asia,2,78.648,109.214,147.244,196.931,253.121,315.471,383.686,454.897,526.12,27.44470200000001,28.8667707876761,30.163439421637065,31.25562655447841,32.08390021603405,32.662246345133866,33.089446649689485,33.38184163331537,33.47524693306884
282,Tashkent,40.23697082159706,24.77561,Uzbekistan,923,Asia,2,78.648,110.001,149.025,195.743,242.512,286.928,332.843,378.643,423.003,27.44470200000001,29.07477777672373,30.878268670044392,32.70291155680354,34.34805019387833,35.72508766898924,36.9690082498087,38.16760619854474,39.296974490316835
283,Tashkent,40.23697082159706,24.77561,Uzbekistan,923,Asia,2,78.648,108.546,144.823,192.487,249.55,314.83,387.677,464.108,540.312,27.44470200000001,28.69026860255527,29.730435638345764,30.456473629177133,30.840197070553735,30.983111923456907,30.924564382432365,30.65924465831394,30.169296526954763
284,Tashkent,40.23697082159706,24.77561,Uzbekistan,923,Asia,2,78.648,108.134,144.595,199.805,274.826,369.575,476.509,587.389,694.927,27.44470200000001,28.58132142854677,29.364438157834417,29.721276253609485,29.763996909113473,29.613571786531594,29.282391328061713,28.759582704641595,28.041473849964923
285,Kuala Lumpur,239.03533058704048,23.414908999999998,Malaysia,580,Asia,2,375.288,473.023,595.358,750.517,941.212,1163.756,1398.235,1627.447,1853.727,28.401016999999996,30.554347619982543,32.54650387321781,34.341087472949546,35.90014842829309,37.27292645683445,38.39906858104129,39.247587181629136,39.82260295608912
286,Kuala Lumpur,239.03533058704048,23.414908999999998,Malaysia,580,Asia,2,375.288,475.181,599.206,742.319,903.265,1080.849,1273.885,1474.86,1683.414,28.401016999999996,30.69376589427512,32.94511354453691,35.10951249151506,37.160913237316414,39.03665032481362,40.65759901974442,42.05765776452435,43.26501895958403
287,Kuala Lumpur,239.03533058704048,23.414908999999998,Malaysia,580,Asia,2,375.288,476.924,602.209,732.864,864.718,997.569,1134.086,1267.413,1399.763,28.401016999999996,30.806319787084814,33.32641498442822,35.91053771762025,38.51952143960463,40.970937900308414,43.25161346193562,45.42815182342147,47.58817106906709
288,Kuala Lumpur,239.03533058704048,23.414908999999998,Malaysia,580,Asia,2,375.288,473.077,591.867,723.911,875.493,1040.734,1213.705,1383.638,1549.599,28.401016999999996,30.55782743166423,32.57450588235199,34.397601353721505,35.971136715400135,37.33067124324158,38.41365066764395,39.1961122469571,39.689172094743796
289,Kuala Lumpur,239.03533058704048,23.414908999999998,Malaysia,580,Asia,2,375.288,473.27,598.071,767.266,991.482,1267.055,1572.364,1893.963,2225.768,28.401016999999996,30.570293080630265,32.59625738288493,34.44089803570829,36.0493225860688,37.471234934072456,38.64759323923457,39.54763044156015,40.17328679633711
290,Maputo,9.211720050388193,18.200656,Mozambique,116,Africa,0,19.244,27.351,39.304,57.507,85.732,128.69,191.293,279.991,400.98,23.390765000000002,25.629743628866347,27.856927699945903,30.022474223552518,31.96916488868996,33.76484819030715,35.30569571983014,36.57464382135783,37.60617097902985
291,Maputo,9.211720050388193,18.200656,Mozambique,116,Africa,0,19.244,27.736,39.953,55.859,75.961,101.022,134.025,177.98,235.934,23.390765000000002,25.990596382064652,28.638302987510293,31.263444596715434,33.8014926613768,36.21213070770539,38.469358144894485,40.491878157439714,42.29313848944826
292,Maputo,9.211720050388193,18.200656,Mozambique,116,Africa,0,19.244,27.851,40.039,53.995,68.76,83.573,100.432,120.376,143.52,23.390765000000002,26.098569234620925,28.972714496680634,31.997259708607743,35.19886140931405,38.25266457256417,41.19364932045335,44.03172680158907,46.76480163266106
293,Maputo,9.211720050388193,18.200656,Mozambique,116,Africa,0,19.244,27.851,39.959,53.376,66.803,78.704,91.251,105.208,120.416,23.390765000000002,26.09785348421125,28.969699362154607,31.98033639874786,35.15044829192662,38.15671690352957,41.04430314116437,43.826777339501085,46.49977323127038
294,Maputo,9.211720050388193,18.200656,Mozambique,116,Africa,0,19.244,27.346,39.459,59.553,94.218,151.51,238.128,364.126,539.76,23.390765000000002,25.625243035720935,27.838933743061276,29.973733649200053,31.875189099411113,33.614963113963,35.09239082923992,36.293278565932376,37.25367793702147
295,Kathmandu,22.025413208081368,24.400606,Nepal,407,Asia,2,32.337,39.154,49.768,67.559,95.617,137.762,197.306,277.52,380.174,29.959364000000008,32.49441150063906,34.90707762035198,37.1137589730827,39.01551876520153,40.68255077071107,42.09251009660264,43.22523362978849,44.05408740087141
296,Kathmandu,22.025413208081368,24.400606,Nepal,407,Asia,2,32.337,39.533,50.058,65.31,85.289,110.208,142.72,184.59,237.576,29.959364000000008,32.808399564309255,35.755926438585234,38.621273310573486,41.272413065969026,43.76353106603914,46.10469183275235,48.252437025718656,50.14183269560961
297,Kathmandu,22.025413208081368,24.400606,Nepal,407,Asia,2,32.337,39.922,50.632,63.722,78.554,94.113,112.103,132.888,156.731,29.959364000000008,33.13110167128125,36.81692289171901,40.70672110743651,44.64755688391523,48.54958257177198,52.56196320803636,56.713511899616535,60.910120804875135
298,Kathmandu,22.025413208081368,24.400606,Nepal,407,Asia,2,32.337,39.914,50.526,62.961,76.379,88.671,101.623,115.303,129.646,29.959364000000008,33.12506818855097,36.79579334070088,40.63841302955747,44.505819413225005,48.3085783976977,52.20305822376658,56.21471649128029,60.2425732548883
299,Kathmandu,22.025413208081368,24.400606,Nepal,407,Asia,2,32.337,39.129,49.844,69.612,104.739,162.535,247.429,364.994,518.696,29.959364000000008,32.47342767473976,34.833578289346306,36.945668051269884,38.73799934653128,40.28823530845542,41.57475891875371,42.57854871772909,43.27659357334948
300,Accra,20.445616306419794,19.165490000000002,Ghana,564,Africa,0,36.062,55.153,77.543,110.358,158.72,228.643,321.624,438.635,579.069,24.391822999999977,26.932794995754055,29.30907570346062,31.523907379291444,33.554630458902864,35.49524849217776,37.251628359167256,38.72638055144483,39.900873281755835
301,Accra,20.445616306419794,19.165490000000002,Ghana,564,Africa,0,36.062,55.799,78.909,108.797,146.224,192.465,250.972,324.134,414.345,24.391822999999977,27.24842827426306,30.161433746855742,33.06102116671122,35.931403966465304,38.7635561282586,41.499936692870314,44.05652538386277,46.376231423164704
302,Accra,20.445616306419794,19.165490000000002,Ghana,564,Africa,0,36.062,56.214,79.745,106.62,135.316,164.25,196.746,233.437,274.819,24.391822999999977,27.450786518562374,30.757134850185146,34.30305669717777,38.127909891545166,42.07647390425905,46.133670473053805,50.29605962233279,54.50427582530612
303,Accra,20.445616306419794,19.165490000000002,Ghana,564,Africa,0,36.062,56.202,79.52,104.961,130.783,154.137,178.912,205.761,235.078,24.391822999999977,27.444979744772166,30.746348484743745,34.28718154625627,38.09568636753206,41.99150389463479,45.95969527636203,50.0017910578999,54.060789363091885
304,Accra,20.445616306419794,19.165490000000002,Ghana,564,Africa,0,36.062,55.127,77.674,113.512,171.59,261.494,384.581,543.554,739.008,24.391822999999977,26.92026994177944,29.262736690058897,31.413936436683816,33.36481632282409,35.20959026070392,36.854761921688834,38.20685296699387,39.25075020965938
305,Yaounde,29.05565034777774,15.678269,Cameroon,195,Africa,0,40.336,50.073,65.024,88.458,124.026,175.188,243.868,331.538,438.814,19.598888999999993,21.423981075006616,23.149582284842754,24.74877511545524,26.174589999341485,27.48452298362182,28.625644715498357,29.552337713615152,30.27359015858956
306,Yaounde,29.05565034777774,15.678269,Cameroon,195,Africa,0,40.336,50.623,65.952,87.462,115.837,151.332,196.115,251.22,318.234,19.598888999999993,21.659261254140716,23.654488854466397,25.515776793491458,27.31549022582972,29.037379147440785,30.620556245749583,31.978384119306863,33.15557311693132
307,Yaounde,29.05565034777774,15.678269,Cameroon,195,Africa,0,40.336,51.038,66.819,85.975,107.899,131.442,158.263,188.24,221.564,19.598888999999993,21.83700764484482,24.176377478673718,26.494330641595397,28.84894838746723,31.12316520878074,33.31919647256917,35.40227882593652,37.38658122013425
308,Yaounde,29.05565034777774,15.678269,Cameroon,195,Africa,0,40.336,51.048,66.697,84.735,104.808,124.708,146.464,169.937,195.309,19.598888999999993,21.84122045931983,24.192753266050023,26.524283398081575,28.88540160503231,31.15437513742213,33.338673440410325,35.40711218759474,37.37374673026067
309,Yaounde,29.05565034777774,15.678269,Cameroon,195,Africa,0,40.336,50.063,65.158,90.797,133.481,199.368,290.844,411.21,562.779,19.598888999999993,21.41983387200665,23.135669343839098,24.7185880755544,26.126195905816065,27.41616120264256,28.535661655883146,29.439901780421327,30.138636779556524
